Div,Date,Time,HomeTeam,AwayTeam,Referee,B365H,B365D,B365A,BFDH,BFDD,BFDA,BVH,BVD,BVA,BWH,BWD,BWA,PPH,PPD,PPA,SKBH,SKBD,SKBA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,BFEH,BFED,BFEA,B365>2.5,B365<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,BFE>2.5,BFE<2.5,AHh,B365AHH,B365AHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,BFEAHH,BFEAHA,B365CH,B365CD,B365CA,BFDCH,BFDCD,BFDCA,BVCH,BVCD,BVCA,BWCH,BWCD,BWCA,PPCH,PPCD,PPCA,SKBCH,SKBCD,SKBCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365C>2.5,B365C<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,BFEC>2.5,BFEC<2.5,AHCh,B365CAHH,B365CAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,BFECAHH,BFECAHA
B1,28/08/2026,19:45,Genk,Beveren,,1.42,4.1,6,1.44,4.5,6,1.44,4.6,6,1.49,4.6,6,1.36,4.4,6,1.4,4.2,5.75,1.49,4.75,6.5,1.44,4.48,6.04,1.5,5,6.6,1.48,2.6,1.52,2.6,1.49,2.52,1.52,2.82,-1.25,1.95,1.85,1.98,1.85,1.92,1.8,1.99,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,29/08/2026,15:00,RAAL La Louviere,Mechelen,,2.3,3.2,2.88,2.38,3.1,2.88,2.3,3.2,3,2.4,3.3,2.95,2.3,3,2.8,2.3,3,2.8,2.4,3.3,3.1,2.34,3.13,2.95,2.42,3.15,3.4,2.1,1.7,2.15,1.7,2.11,1.67,2.16,1.71,-0.25,2.03,1.78,2.03,1.78,1.99,1.75,2.05,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,29/08/2026,17:15,Kortrijk,Charleroi,,3.7,3.4,1.91,3.5,3.5,1.91,3.6,3.5,1.91,3.6,3.5,2,3.5,3.5,1.9,3.4,3.4,1.85,3.75,3.6,2,3.58,3.49,1.94,3.85,3.65,2.08,1.8,2,1.8,2,1.77,1.96,1.84,2.04,0.5,1.85,1.95,1.85,1.95,1.8,1.91,1.9,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,29/08/2026,19:45,Cercle Brugge,Lommel SK,,1.5,4.33,5.25,1.5,4.33,5.5,1.5,4.33,5.25,1.55,4.5,5.5,1.44,4.4,5.5,1.44,4.2,5.25,1.55,4.5,5.5,1.5,4.38,5.38,1.6,4.6,6,1.5,2.5,1.5,2.55,1.49,2.5,1.54,2.62,-1,1.85,1.95,1.85,1.95,1.81,1.91,1.99,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,29/08/2026,19:45,Oud-Heverlee Leuven,Standard,,2.8,3.25,2.35,2.63,3.4,2.38,2.88,3.3,2.3,2.85,3.5,2.37,2.63,3.3,2.3,2.63,3.25,2.3,2.88,3.5,2.45,2.79,3.33,2.35,3.1,3.25,2.44,1.9,1.9,1.9,1.93,1.84,1.86,1.94,1.92,0.25,1.78,2.03,1.78,2.03,1.75,1.99,1.84,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,30/08/2026,12:30,Gent,Club Brugge,,4.1,3.8,1.7,4.2,3.75,1.7,4.2,3.9,1.7,4.33,4,1.73,4.2,3.8,1.65,4,3.75,1.67,4.33,4.2,1.75,4.15,3.9,1.7,4.7,4.2,1.72,1.6,2.3,1.6,2.38,1.57,2.3,1.62,2.28,0.75,1.88,1.93,1.88,1.93,1.83,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,30/08/2026,15:00,Antwerp,St Truiden,,2.45,3.4,2.7,2.38,3.5,2.63,2.4,3.4,2.63,2.5,3.5,2.65,2.38,3.4,2.6,2.38,3.3,2.5,2.5,3.5,2.75,2.42,3.41,2.65,2.42,3.15,2.7,1.8,2,1.8,2.1,1.75,2,1.8,2.04,0,1.8,2,1.8,2,1.78,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,30/08/2026,17:30,St. Gilloise,Anderlecht,,1.67,3.7,4.75,1.67,3.75,4.5,1.65,3.75,4.6,1.71,3.9,4.6,1.65,3.8,4.4,1.67,3.6,4.2,1.71,3.9,4.75,1.67,3.76,4.54,1.71,3.95,5,1.75,2.05,1.8,2.1,1.74,2.01,1.79,2,-0.75,1.88,1.93,1.88,1.93,1.84,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,30/08/2026,18:15,Westerlo,Waregem,,2.8,3.6,2.2,2.75,3.75,2.2,2.8,3.6,2.2,2.85,3.75,2.25,2.63,3.75,2.2,2.6,3.6,2.15,2.88,3.75,2.25,2.79,3.65,2.22,2.94,3.8,2.42,1.53,2.4,1.55,2.5,1.51,2.43,1.55,2.5,0.25,1.83,1.98,1.83,1.98,1.8,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,28/08/2026,19:30,Bayern Munich,Stuttgart,,1.22,7,10,1.2,7.5,11,1.18,7.5,11,1.25,7.25,8.75,1.18,7.5,11,1.18,8,11,1.25,8,12,1.2,7.38,10.37,1.25,8.2,12,1.2,4.5,1.2,5.5,1.17,4.78,1.2,5.6,-2,1.83,2.03,1.83,2.03,1.79,1.96,1.9,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
